comparison,context,left,right,difference_definition,n,seeds,metric,mean_difference,standard_deviation_of_differences,ci95_lower,ci95_upper
mc_dropout_minus_deterministic,image_size=224,deterministic,mc_dropout,right_minus_left,3,42;43;44,accuracy,0.011202240448089632,0.007204218085764796,-0.006695473803467146,0.029099954699646408
mc_dropout_minus_deterministic,image_size=224,deterministic,mc_dropout,right_minus_left,3,42;43;44,macro_precision,-0.004905107374443866,0.010982884436961993,-0.03219030681878414,0.02238009206989641
mc_dropout_minus_deterministic,image_size=224,deterministic,mc_dropout,right_minus_left,3,42;43;44,macro_recall,-0.001553255343220002,0.0013896628013948212,-0.005005647737410277,0.0018991370509702733
mc_dropout_minus_deterministic,image_size=224,deterministic,mc_dropout,right_minus_left,3,42;43;44,macro_f1,0.001351069602953688,0.004886574353225553,-0.010788833770575608,0.013490972976482985
mc_dropout_minus_deterministic,image_size=224,deterministic,mc_dropout,right_minus_left,3,42;43;44,weighted_f1,0.01031127043292305,0.007501006848859092,-0.008323767482589796,0.028946308348435895
mc_dropout_minus_deterministic,image_size=224,deterministic,mc_dropout,right_minus_left,3,42;43;44,top5_accuracy,0.007201440288057655,0.006691629799430996,-0.009422831298621273,0.02382571187473658
mc_dropout_minus_deterministic,image_size=224,deterministic,mc_dropout,right_minus_left,3,42;43;44,negative_log_likelihood,0.06384417979846417,0.02873910828720966,-0.007553484992581808,0.13524184458951016
mc_dropout_minus_deterministic,image_size=224,deterministic,mc_dropout,right_minus_left,3,42;43;44,multiclass_brier,0.01832324723547925,0.010611728423343758,-0.00803987514298041,0.04468636961393892
mc_dropout_minus_deterministic,image_size=224,deterministic,mc_dropout,right_minus_left,3,42;43;44,expected_calibration_error,0.09054669681279477,0.007907349559215843,0.07090216617626914,0.1101912274493204
mc_dropout_minus_deterministic,image_size=300,deterministic,mc_dropout,right_minus_left,3,42;43;44,accuracy,0.012735880509435193,0.01097184948449978,-0.014521904380876176,0.03999366539974657
mc_dropout_minus_deterministic,image_size=300,deterministic,mc_dropout,right_minus_left,3,42;43;44,macro_precision,-0.004660185807714508,0.00521738133158694,-0.017621925597166865,0.00830155398173785
mc_dropout_minus_deterministic,image_size=300,deterministic,mc_dropout,right_minus_left,3,42;43;44,macro_recall,0.0053035296929414555,0.010806061496558647,-0.021542381764446776,0.03214944115032969
mc_dropout_minus_deterministic,image_size=300,deterministic,mc_dropout,right_minus_left,3,42;43;44,macro_f1,0.005949869113965223,0.009021443282634137,-0.016462447127301272,0.028362185355231717
mc_dropout_minus_deterministic,image_size=300,deterministic,mc_dropout,right_minus_left,3,42;43;44,weighted_f1,0.01295025186266067,0.009565097294965396,-0.010812684813548452,0.03671318853886979
mc_dropout_minus_deterministic,image_size=300,deterministic,mc_dropout,right_minus_left,3,42;43;44,top5_accuracy,0.0009335200373407811,0.004027383842246142,-0.009071863521533835,0.010938903596215398
mc_dropout_minus_deterministic,image_size=300,deterministic,mc_dropout,right_minus_left,3,42;43;44,negative_log_likelihood,0.07211741079727534,0.020138500461502517,0.02208656464243508,0.12214825695211559
mc_dropout_minus_deterministic,image_size=300,deterministic,mc_dropout,right_minus_left,3,42;43;44,multiclass_brier,0.014508544879967908,0.008714029391851582,-0.007140051286658266,0.03615714104659408
mc_dropout_minus_deterministic,image_size=300,deterministic,mc_dropout,right_minus_left,3,42;43;44,expected_calibration_error,0.09595078112111771,0.005902200830920354,0.08128771808366675,0.11061384415856867
300_minus_224,mode=deterministic,224,300,right_minus_left,3,42;43;44,accuracy,-0.017603520704140802,0.011883454083039941,-0.04712603972948841,0.011918998321206808
300_minus_224,mode=deterministic,224,300,right_minus_left,3,42;43;44,macro_precision,-0.016332407970489404,0.008463820522270352,-0.03735940068235363,0.004694584741374821
300_minus_224,mode=deterministic,224,300,right_minus_left,3,42;43;44,macro_recall,-0.01153828842226253,0.004490751413171365,-0.022694833742084478,-0.0003817431024405807
300_minus_224,mode=deterministic,224,300,right_minus_left,3,42;43;44,macro_f1,-0.017410663264712783,0.0062496630275667925,-0.032936939913240315,-0.0018843866161852522
300_minus_224,mode=deterministic,224,300,right_minus_left,3,42;43;44,weighted_f1,-0.02236750969413818,0.01145604941726522,-0.050828210977886146,0.006093191589609782
300_minus_224,mode=deterministic,224,300,right_minus_left,3,42;43;44,top5_accuracy,0.0007334800293392618,0.0066023304898241725,-0.015668941870506572,0.017135901929185095
300_minus_224,mode=deterministic,224,300,right_minus_left,3,42;43;44,negative_log_likelihood,0.06882585845667599,0.044733500493491424,-0.04230728601133872,0.1799590029246907
300_minus_224,mode=deterministic,224,300,right_minus_left,3,42;43;44,multiclass_brier,0.03319517318989642,0.01988778205692044,-0.016212803652910814,0.08260315003270366
300_minus_224,mode=deterministic,224,300,right_minus_left,3,42;43;44,expected_calibration_error,0.0006649240467868888,0.021207530357035917,-0.0520217539233665,0.05335160201694028
300_minus_224,mode=mc_dropout,224,300,right_minus_left,3,42;43;44,accuracy,-0.016069880642795242,0.015360589278299728,-0.05423077948923125,0.022091018203640768
300_minus_224,mode=mc_dropout,224,300,right_minus_left,3,42;43;44,macro_precision,-0.016087486403760048,0.006945478586052841,-0.03334240423018005,0.0011674314226599522
300_minus_224,mode=mc_dropout,224,300,right_minus_left,3,42;43;44,macro_recall,-0.004681503386101071,0.008496966109858946,-0.025790840947648955,0.016427834175446812
300_minus_224,mode=mc_dropout,224,300,right_minus_left,3,42;43;44,macro_f1,-0.012811863753701247,0.007213601789227324,-0.030732890298305556,0.005109162790903062
300_minus_224,mode=mc_dropout,224,300,right_minus_left,3,42;43;44,weighted_f1,-0.019728528264400563,0.013994268343494492,-0.05449502380766838,0.015037967278867258
300_minus_224,mode=mc_dropout,224,300,right_minus_left,3,42;43;44,top5_accuracy,-0.005534440221377612,0.0076286702412234,-0.024486637180345237,0.013417756737590013
300_minus_224,mode=mc_dropout,224,300,right_minus_left,3,42;43;44,negative_log_likelihood,0.07709908945548716,0.05750746827968835,-0.06576891125566323,0.21996709016663754
300_minus_224,mode=mc_dropout,224,300,right_minus_left,3,42;43;44,multiclass_brier,0.02938047083438507,0.025291077168573792,-0.03345111850514726,0.09221206017391739
300_minus_224,mode=mc_dropout,224,300,right_minus_left,3,42;43;44,expected_calibration_error,0.006069008355109827,0.015244064439539656,-0.031802403382175874,0.04394042009239552
